transaction_id,user_id,timestamp,location_city,merchant_category,is_foregin_transaction,amount,is_fraud,transaction_velocity_1h,avg_amount_7d,anomaly_score
7ab1dabf-8ada-47c0-97c3-1b5175d265a1,User_002,20-09-2025 18:43,Dhanbad,Travel_Agency,FALSE,34094.7,FALSE,9.26,3666.21,0.6389
29b95b31-01ff-4551-a216-fa585900a74d,User_006,30-09-2025 08:55,Deoghar,Restaurant,TRUE,7704.43,FALSE,7.86,1089.81,0.7213
7ec7818e-22c8-4d12-9a54-d08d7d979012,User_010,24-09-2025 01:47,Deoghar,Digital_Payment,TRUE,8572.25,FALSE,3.96,4592.69,0.336
e1c3ec71-df50-4808-827b-a536bf9e8ea0,User_001,30-09-2025 20:23,Deoghar,Entertainment,FALSE,40033.07,FALSE,1.42,1767.54,0.1492
c0da86e0-52ce-4407-8ff2-25143a3d0c7d,User_002,30-09-2025 19:18,Dhanbad,Entertainment,TRUE,44166.19,FALSE,8.33,619.41,0.6162
8e4d9f2b-7b9d-4a8a-b23a-9ac503d91f53,User_008,26-09-2025 08:37,Deoghar,Electronics_Store,FALSE,41210.24,TRUE,5.18,2441.77,0.2667
8e6e1ed3-51bc-44d0-9f3e-48dd79f0c12a,User_001,22-09-2025 09:58,Giridih,Electronics_Store,FALSE,31471.08,FALSE,2.45,3718.31,0.9114
ab0cc86f-1350-458a-84c1-08ddcf11a60e,User_006,29-09-2025 09:58,Deoghar,Electronics_Store,TRUE,17884,FALSE,2.21,3231.91,0.344
20919a17-634e-4013-a7fe-5be51a06995b,User_003,27-09-2025 00:25,Ranchi,Online_ECommerce,TRUE,28071.41,FALSE,5.09,2055.53,0.6739
ffc7cdeb-68cb-4d61-adee-c02e653d42ac,User_003,26-09-2025 17:10,Jamshedpur,Electronics_Store,TRUE,24778.05,FALSE,2.21,4252.79,0.4003
2bebd904-3528-4f06-a09d-60221b6a81e2,User_002,24-09-2025 13:05,Bokaro Steel City,Healthcare,TRUE,28863.45,FALSE,9.34,3237.91,0.2503
1bd97170-04a1-49bc-a876-57182ab38588,User_001,24-09-2025 06:33,Giridih,Utility_Bill,FALSE,7944.44,TRUE,5.65,584.34,0.8631
e08d15ae-5ad9-4416-8953-d22252dc8773,User_004,30-09-2025 17:10,Jamshedpur,Restaurant,FALSE,32493.26,FALSE,6.86,3972,0.5874
20359dfa-5e66-43be-9d3b-4df65192e257,User_001,28-09-2025 01:19,Jamshedpur,Healthcare,FALSE,15151.2,FALSE,8.22,2750.61,0.86
dbcb9815-a2e1-4f5d-a10f-1ef48579d4fb,User_007,20-09-2025 23:55,Deoghar,Travel_Agency,TRUE,5186.94,FALSE,1.54,4535.47,0.8891
ad54dfec-6dc0-4484-8c55-4a7b6e01b66b,User_006,21-09-2025 08:12,Ranchi,Travel_Agency,FALSE,14886.45,TRUE,0.31,1946.57,0.6535
e6dde5e6-34da-46f2-a452-ef38acb699a6,User_002,25-09-2025 21:18,Giridih,Restaurant,FALSE,49815.57,FALSE,7.15,3474.72,0.3664
f3312002-2e96-41cc-ab7f-6f84cd8d1ad9,User_010,22-09-2025 09:54,Jamshedpur,Restaurant,FALSE,12292.29,TRUE,5.58,2371.4,0.1894
0b7ea842-eed7-4b32-84ef-9a25a78b7573,User_002,24-09-2025 23:05,Jamshedpur,Travel_Agency,TRUE,24174.62,FALSE,5.93,1991.38,0.3809
602638e2-c16b-418f-a362-96b801a0928e,User_009,20-09-2025 05:27,Ranchi,Entertainment,TRUE,44586.18,FALSE,1.89,1931.29,0.6302
